iter	RMSE
0	1865.007966
1	1811.6906
2	1761.297096
3	1713.324107
4	1673.925419
5	1624.975621
6	1578.061975
7	1536.06952
8	1493.025071
9	1456.328308
10	1417.842677
11	1387.016913
12	1352.585296
13	1314.590323
14	1277.890892
15	1243.717336
16	1210.473035
17	1179.262266
18	1151.261467
19	1121.356349
20	1093.168319
21	1066.006198
22	1040.668909
23	1016.605606
24	990.3225727
25	970.4734674
26	946.1669805
27	921.0833663
28	896.4767031
29	877.0112879
30	856.448103
31	834.7460416
32	814.6303824
33	793.9718759
34	774.2553918
35	753.1915516
36	737.5721202
37	717.9360918
38	703.3120527
39	689.2550568
40	673.597262
41	657.1230026
42	639.0829395
43	622.2910797
44	606.4565683
45	594.1264145
46	582.8791907
47	570.0614543
48	555.6658219
49	544.6483944
50	531.8678352
51	518.4194315
52	505.5725742
53	494.0022821
54	482.836822
55	474.4066191
56	464.4077087
57	454.451982
58	445.3968832
59	437.0012443
60	428.7854747
61	420.1945924
62	412.5554163
63	404.441653
64	397.1735725
65	389.7709074
66	383.3674218
67	375.2284393
68	367.9132455
69	360.8384878
70	353.1532759
71	345.3030497
72	340.2909293
73	333.6486926
74	327.5485041
75	322.0663879
76	316.8261727
77	311.7427525
78	306.1100603
79	301.4357602
80	295.3893719
81	290.0380867
82	286.0206493
83	281.1959057
84	277.1251758
85	272.4244622
86	268.0141856
87	263.2000249
88	259.6552876
89	255.4778563
90	251.5868491
91	247.569386
92	243.7045716
93	240.0524697
94	236.4511966
95	233.1806635
96	229.2022276
97	226.2835445
98	224.2276542
99	221.0623352
100	218.1762626
101	215.3835243
102	212.1451547
103	209.3601737
104	206.7181097
105	203.6044035
106	200.8984104
107	198.5618874
108	196.1027025
109	194.3027831
110	192.2340166
111	190.0968298
112	187.903692
113	186.6940649
114	184.8263221
115	183.0496073
116	180.8975709
117	179.5823627
118	177.9583391
119	176.0179979
120	174.0964689
121	172.1422434
122	170.578822
123	168.748726
124	167.6732717
125	166.6107604
126	165.0170873
127	163.3865047
128	161.7075759
129	160.1633484
130	158.95065
131	157.4770131
132	156.6975298
133	155.3741227
134	154.0355908
135	152.8983693
136	151.517726
137	150.3853082
138	149.0555771
139	147.8421936
140	146.8051449
141	145.5724501
142	144.7776695
143	144.0881249
144	143.3029584
145	142.4831607
146	141.6077433
147	140.7096828
148	139.8855049
149	139.2865191
150	138.4234229
151	137.337729
152	136.5762193
153	135.4836064
154	134.5875012
155	133.8418645
156	132.8568653
157	132.0265163
158	131.2892015
159	130.5781046
160	129.7890103
161	129.0007968
162	128.1029514
163	127.3295823
164	126.7788773
165	126.0790212
166	125.3783357
167	124.7559847
168	123.9554371
169	123.3953694
170	122.8584934
171	122.2314739
172	121.439101
173	120.4683097
174	119.9029628
175	119.3481256
176	118.8374475
177	118.3374901
178	117.6566625
179	117.2343819
180	116.5725816
181	116.0690588
182	115.4188406
183	115.1688396
184	114.6393111
185	114.0514857
186	113.5854189
187	113.1727585
188	112.7184611
189	111.9955348
190	111.2252065
191	110.6696821
192	110.0980313
193	109.4943173
194	109.1668164
195	108.2007929
196	107.8170341
197	107.5727088
198	106.9795007
199	106.1198885
200	105.5891257
201	104.7896663
202	104.1359134
203	103.456403
204	102.9377854
205	102.4766826
206	102.1803782
207	101.8733122
208	101.5078204
209	100.9342579
210	100.3780172
211	100.0142594
212	99.1999133
213	98.89974964
214	98.33758747
215	97.59423509
216	97.19114582
217	96.89616225
218	96.70222809
219	96.20572347
220	95.76492625
221	95.54670396
222	95.36704006
223	94.95616849
224	94.255013
225	93.67168999
226	93.36311047
227	93.09967774
228	92.4950885
229	92.27301979
230	91.98875347
