iter	Passed	Remaining
0	167	167536
1	173	86414
2	177	59081
3	182	45423
4	187	37369
5	192	31885
6	197	27966
7	201	25031
8	206	22730
9	210	20809
10	213	19173
11	216	17808
12	219	16630
13	220	15553
14	223	14646
15	225	13847
16	227	13136
17	228	12469
18	230	11894
19	232	11372
20	234	10910
21	235	10477
22	237	10072
23	238	9697
24	239	9353
25	241	9037
26	242	8738
27	243	8459
28	244	8203
29	246	7958
30	247	7735
31	248	7529
32	250	7328
33	250	7128
34	251	6933
35	252	6762
36	253	6602
37	254	6451
38	255	6307
39	256	6160
40	257	6026
41	258	5901
42	259	5783
43	260	5667
44	261	5556
45	262	5452
46	264	5356
47	265	5260
48	266	5167
49	267	5078
50	268	4993
51	269	4911
52	270	4831
53	271	4754
54	272	4679
55	273	4608
56	274	4540
57	275	4474
58	276	4411
59	277	4349
60	278	4290
61	279	4225
62	280	4167
63	281	4111
64	281	4056
65	282	4003
66	283	3951
67	284	3901
68	285	3853
69	286	3805
70	287	3760
71	288	3724
72	289	3680
73	290	3638
74	291	3597
75	292	3557
76	293	3517
77	294	3481
78	295	3444
79	296	3408
80	297	3373
81	297	3332
82	298	3299
83	299	3266
84	300	3234
85	301	3203
86	302	3173
87	303	3143
88	304	3115
89	305	3088
90	306	3061
91	307	3033
92	308	3006
93	309	2979
94	310	2954
95	311	2929
96	312	2904
97	312	2880
98	313	2855
99	314	2832
100	315	2808
101	316	2786
102	317	2763
103	318	2742
104	319	2720
105	320	2699
106	320	2675
107	321	2655
108	322	2632
109	322	2612
110	323	2593
111	324	2574
112	325	2556
113	326	2537
114	327	2519
115	328	2501
116	329	2484
117	330	2467
118	331	2450
119	331	2434
120	332	2417
121	333	2402
122	334	2386
123	335	2370
124	336	2354
125	337	2339
126	338	2324
127	339	2309
128	340	2296
129	340	2281
130	341	2265
131	342	2252
132	343	2238
133	344	2224
134	345	2211
135	346	2198
136	347	2186
137	347	2173
138	348	2161
139	349	2148
140	350	2136
141	351	2124
142	352	2112
143	353	2100
144	354	2088
145	355	2078
146	356	2067
147	357	2055
148	358	2044
149	358	2033
150	359	2023
151	360	2013
152	361	2002
153	362	1992
154	363	1982
155	364	1972
156	365	1961
157	366	1952
158	367	1943
159	368	1935
160	369	1925
161	370	1916
162	371	1906
163	372	1897
164	373	1889
165	374	1881
166	375	1874
167	377	1867
168	378	1860
169	379	1852
170	380	1844
171	381	1835
172	382	1826
173	383	1818
174	383	1810
175	384	1801
176	385	1794
177	386	1786
178	387	1778
179	388	1770
180	389	1762
181	390	1755
182	391	1747
183	392	1739
184	393	1732
185	394	1724
186	395	1717
187	395	1710
188	396	1702
189	397	1695
190	398	1688
191	399	1681
192	400	1674
193	401	1668
194	402	1661
195	403	1656
196	404	1649
197	405	1644
198	406	1637
199	407	1630
200	408	1624
201	409	1618
202	410	1611
203	411	1605
204	412	1598
205	413	1592
206	414	1586
207	414	1580
208	415	1574
209	417	1568
